Family Name,Group (Order),Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Percopsidae,Percosiformes,Extant,0,Freshwater,fishbase (Nelson 1984); wiki,0.08,NA,,"carnivore (insects, crustaceans)",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,northern North America
Peristediidae,Scorpaeniformes,Extant,0,Marine,fishbase (Nelson 1994),0.119,NA,,carnivore (inverts?),1,0,0,NA,1,1,1,NA,1,0,0,NA,"dorsal f.s., pectoral f.s. (Price et al); body encased in heavy spine-bearing plates (fishbase)",,"Atlantic, Indian and Pacific Oceans"
Pholidae,Perciformes,Extant,0,Marine,fishbase (Mecklenburg CW 2003),0.091,NA,,"carnivore (crustaceans, mollusks)",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"North Atlantic, Arctic and North Pacific"
Pholidichthyidae,Cichliformes,Extant,0,Marine,fishbase (Nelson 1984); Nelson et al 2016,0.234,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,southwesternmost Philippines to Solomon Islands
Phosichthyidae,Stomiiformes,Extant,0,Marine,fishbase (Nelson JS 1994),0.224,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,"Atlantic, Indian, and Pacific"
Phycidae,Gadiformes,Extant,0,"Brackish, marine",fishbase (Nelson JS 1994),0.055,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Atlantic
Pimelodidae,Siluriformes,Extant,0,Freshwater,fishbase (Nelson JS 1994); wiki,0.216,NA,,filter feeder?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., pectoral f.s. (Price et al); spines can be absent (fishbase)",,Central and South America (north to southernmost Mexico)
Pinguipedidae,Perciformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 1994),0.102,NA,,"carnivore (invert, fish)",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic side of South America and Africa, Indo-Pacific (as far down to New Zealand, to Hawaii and off Chile)"
Platycephalidae,Scorpaeniformes,Extant,0,"Brackish, marine",fishbase (Nelson 1994),0.1,NA,,"carnivore (invert, fish)",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Indo-Pacific
Platytroctidae,Osmeriformes,Extant,0,Marine,fishbase (Nelson 1994),0.088,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,all oceans except Mediterranean
Plecoglossidae,Osmeriformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 1984); wiki,0.176,NA,,"omnivore (algae, crustaceans, insects, sponges, worms)",1,0,0,NA,1,0,0,NA,1,0,0,NA,,,"Japan, Korea, and China"
Plesiopidae,Perciformes,Extant,0,Marine,fishbase (Nelson 1994),0.044,NA,,carnivore (invert and fish),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Indo-West Pacific
Pleuronectidae,Pleuronectiformes,Extant,0,"Freshwater, brackish, marine","fishbase (Nelson JS 1994, Berg LS 1958)",0.102,NA,,carnivore (invert and fish),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Arctic, Atlantic, Indian and Pacific Oceans"
Plotosidae,Siluriformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 1994),0.348,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., pectoral f.s.",,Indo-West Pacific (Japan to Australia and Fiji)
Poeciliidae,Cyprinidontiformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 1994),0.044,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,low altitudes from eastern United States to northeastern Argentina; also in Africa and Madagascar
Polymixiidae,Polymixiformes,Extant,0,Marine,"fishbase (Nelson JS 1994, Berg LS 1958)",0.102,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian, and Western Pacific. Tropical and subtropical."
Polynemidae,Perciformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 1994),0.103,NA,,carnivore (inverts),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,all tropical and subtropical seas
Polyprionidae,Perciformes,Extant,0,Marine,fishbase (Nelson 1994),0.219,NA,,carnivore (wiki for atlantic wreckfish),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian, Pacific"
Pomacanthidae,Perciformes,Extant,0,Marine,"fishbase (Nelson JS 1994, Berg LS 1958)",0.146,NA,,planktivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Tropical Atlantic, Indian, and (mainly western) Pacific."
Pomacentridae,Perciformes,Extant,0,"Brackish, marine",fishbase (Allen GR 1991),0.117,NA,,"herbivore, omnivore, planktivore",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"All tropical seas, mainly Indo-Pacific"
Pomatomidae,Perciformes,Extant (Miocene),0,"Brackish, marine","fishbase (Nelson JS 1994, Berg LS 1958)",0.143,NA,,carnivore (fish),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian, and Pacific"
Priacanthidae,Perciformes,Extant (Eocene),0,Marine,"fishbase (Stames WC 1988, Berg LS 1958)",0.159,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; nocturnal",,"Tropical and subtropical Atlantic, Indian, and Pacific oceans"
Pristigasteridae,Clupeoformes,Extant,0,"Freshwater, brackish, marine",fishbase (Berra T 2001),0.188,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Pacific, and Indian oceans. Tropical oceans and in the freshwaters of South America and Southeast Asia"
Prochilodontidae,Characiformes,Extant,0,Freshwater,fishbase (Castro and Vari ????says 2050),0.231,NA,,detritivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"South America, primarily northern half, south to Ecuador and Brazil"
Profundulidae,Cyprinidontiformes,Extant,0,Freshwater,fishbase (Nelson 1994),0.062,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic and Pacific slopes of Middle America in Mexico, Guatemala, and Honduras"
Psettodidae,Pleuronectiformes,Extant (mid Eocene),0,Marine,"fishbase (Nelson JS 1994, Berg LS 1958)",0.143,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,West Africa and Indo-West Pacific
