Groupe,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Thelodonts,Shielia,gibba,Shieliiformes,Shieliidae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Shielia,multispinata,Shieliiformes,Shieliidae,Silurian,Wenlock,,,Samojlovich Formation,,"Strojnaya River, October Revolution Island, Russian Federation",433,427,Marss & Karatajute-Talimaa 2002; Mannik et al 2002 for environment
Thelodonts,Shielia,parca,Shieliiformes,Shieliidae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Sphenonectris,turnerae,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Delorme Group,Road River - Camsell Formations,transitional beds,"MOTH, Mackenzie Mountains, Northwest Territories, northern Canada",417,410,Zorn et al 2005 for palaeoenvironment
Thelodonts,Stroinolepis,maenniki,Sandiviiformes,Stroinolepididae,Ordovician,Caradoc,,,Ozernaya Formation,,"Strojnaya River, October Revolution Island, Russian Federation",449,443,Marss and Karatajute-Talimaa 2002; Mannik et al 2009 for environment
Thelodonts,Stroinolepis,maenniki,Sandiviiformes,Stroinolepididae,Ordovician,Ashgill,,,Strojnaya Formation,,"Strojnaya River, October Revolution Island, Russian Federation",458,449,Marss and Karatajute-Talimaa 2002; Mannik et al 2009 for environment
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Ludlow,Gorstian,,Middle Elton Formation,,"Goggin Road, Mortimer Forest ",426,425,Marss and Miller 2004; Sepkoski 1998 for environment; Boucot and Janis 1983 have BA 4-5 
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Wenlock,Rootsikula,,,,Estonia,429,427,Boucot and Janis 1983 for BA
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Wenlock,Homerian,,Mulde and Halla beds,,"Gotland, Sweden",431,427,Boucot and Janis 1983 for Halla BA
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Ludlow,,,"Dubysa, Mituva and Trakai beds",,Lithuania,427,423,Turner 1999 for BA - 3 for uncertainity
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Ludlow,,,Beyrichienkalk,,northern Germany,427,423,Boucot and Janis 1983; Turner 1999 for BA
Thelodonts,Thelodus,laevis,Thelodontiformes,Coelolepididae,Silurian,Ludlow,,,Kuba Formation,,"Central Urals, Russian Federation",427,423,Sapelnikov et al 1999 for BA; Turner 1999 has this as BA 4
Thelodonts,Trimerolepis,lithuanica,Phlebolepidiformes,Katoporodidae,Silurian,Pridoli,,,Jura Formation,,Latvia,423,419,Boucot and Janis 1983 for BA
Thelodonts,Trimerolepis,lithuanica,Phlebolepidiformes,Katoporodidae,Devonian,Lochkovian,,,Tilze Formation,,Latvia,419,412,Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Pod'emnaya Formation,,"October Revolution Island, Russian Federation",419,414,Blieck et al 2002; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,Arbuthnott Group,Dundee Formation,,"Turin Hill, Forfar, Tayside, Scotland",416,416,"Donoghue & Smith 2001, Dineley and Metcalf 1999"
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,Lower Ditton Group,Garvock Formation,,"Turin Hill, Forfar, Tayside, Scotland",417,416,"Donoghue & Smith 2001, Dineley and Metcalf 1999"
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,8 m above the Psammosteus Limestone,,"Gardner's Bank, Shropshire",419,416,Marss & Miller 2004; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,Turinia pagei Biozone,,Beyrichienkalk,,northern Germany,419,417,Gross 1967; Boucot and Janis 1983 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Gres de Pernes,,France,419,411,Goujet & Blieck 1979; Turner 1999 for BA
