Groupe,Genus,Species,Order,Family,System,Series,Stage,Regional Stage,Formation,Member,Locality,Max Age,Min Age,citations
Galeaspids,Sinogaleaspis,xikengensis,Galeaspiformes,,Silurian,Wenlock,Homerian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Sinogaleaspis,zhejiangensis,Galeaspiformes,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Sinoszechuanaspis,yanmenpaensis,Huananapiformes,,Devonian,Pragian,,,Pingyipu Formation,,,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Siyingia,altuspinosa,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Yiliang, Yunnan Province",413,410,Yang et al. 1981
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,early,,Yukiang Formation,,"Xiangzhou, Guangxi Autonomous Region",409,405,Jia Yu et al. 2004; Wang et al. 1987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Yujiang Formation,,,409,405,Lucas 2012' PBDB
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Ertang Formation,,"Xiangzhou, Guangxi",409,405,Wang et al 1987; PBDB; Pojeta 1986 USGSPP; Jia Yu et al. 2004; Wang et al. 2987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Dale Formation,,"Xiangzhou, Guangxi",402,391,Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Moding Formation,,"Hengxian, Guangxi",405,393,Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Pragian,,,Bailiuping Formation,,"Jiangyou, Sichuan",410,407,Jia Yu et al. 2004; Wang et al. 1987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Ganxi Formation,,"Jiangyou, Sichuan",410,405,PBDB; Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Xiejiawan Formation,,"Jiangyou, Sichuan",405,390,Zhang and Palmer 2003
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian Eifelian,,,Ertaizi Formation,,"Jiangyou, Sichuan",393,387,Zhang and Palmer 2003
Galeaspids,Wenshanaspis,zhichangensis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Wenshanaspis,zhichangensis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Wumengshanaspis,cuntianensis,Huananapiformes,Gantarostrataspidae,Devonian,Lockhovian,,,Xindu Formation,,"Pingle, Guangxi",416,410,Shen 2002
Galeaspids,Wumengshanaspis,cuntianensis,Huananapiformes,Gantarostrataspidae,Devonian,Lockhovian-Pragian,,,Suotoushan Formation,lower,"Yiliang, Yunnan",410,391,Zhu Min pers. Comm.
Galeaspids,Xiushuiaspis,jiangxiensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Xiushuiaspis,ganbeiensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Yunnanogaleaspis,major,Galeaspiformes,,Devonian,Lochkovian,early,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Lucas 2012
Galeaspids,Zhaotongaspis,janvieri,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012
Galeaspids,Zhaotongaspis,janvieri,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
