Group,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Osteotracans,Machairaspis,battaili,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,407,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Machairaspis,corystis,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Psammosteus horizons,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Machairaspis,hastata,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Anglaspis horizons,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Machairaspis,ibex,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Ben Nevis,Vogti horizon,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Machairaspis,serratus,,,,,,,Delorme,,,417,410,Scott and Wilson 2013
Osteotracans,Mimetaspis,hoeli,Red Bay Group,Ben Nevis,Spitsbergen,Laurentia,,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Mimetaspis,concordis,,,Devonian,Lower,Lochkovian,Dniester,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Mimetaspis,exilis,,,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,"A-I, Ctenaspis, Benneviaspis horizons",Spitsbergen,415,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Mimetaspis,glazewskii,,,Devonian,Lower,Lochkovian,Tiver,Ivanie,Ivane (ORI),Podolia,414,412,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Nectaspis,peltata,Thyestiida,Kiaeraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Nectaspis,areolata,Thyestiida,Kiaeraspididae,Devonian,Lower,Emsian,,Wood Bay,Lyktan,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Nectaspis,dellei,Thyestiida,Kiaeraspididae,Devonian,Lower,Emsian,,Wood Bay,Stjordalen,Spitsbergen,400,393,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Norselaspis,glacialis,Thyestiida,Kiaeraspididae,Devonian,Lower,Pragian,,Wood Bay,Sigurdfjellet lower ,Spitsbergen,407,403,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Oeselaspis,pustulata,Thyestiida,Tremataspididae,Silurian,Wenlock,Homerian,,Rootsikula 1-3,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Parameteoraspis,gigas,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,borealis,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,dobrovlensis,Zenaspidida,Parameteoraspididae,Devonian,Lower,Lochkovian,Dniester,Ivanie,,Podolia,413,411,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Parameteoraspis,oblongus,Zenaspidida,Parameteoraspididae,Devonian,Lower,Lochkovian,,Peel sound formation,Upper member,Nunavut,419,410,Miall et al 1978
Osteotracans,Parameteoraspis,?pinnifera,Zenaspidida,Parameteoraspididae,Devonian,Lower,Lochkovian,Red Bay Group,Ben Nevis Formation?,,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,caroli,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,lata,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,laticornus,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,oberon,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,semicircularis,Zenaspidida,Parameteoraspididae,Devonian,Lower,Emsian,,Wood Bay,Stjordalen Division,Spitsbergen,400,393,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,moythomasi,Zenaspidida,Parameteoraspididae,Devonian,Lower,Pragian,,Wood Bay,"Kapp Kjeldsen, Lyta",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,hoegi,Zenaspidida,Parameteoraspididae,Devonian,Lower,Emsian,,Wood Bay,Lykta Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,lanternaria,Zenaspidida,Parameteoraspididae,Devonian,Lower,Emsian,,Wood Bay,Lykta Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Parameteoraspis,menoides,Zenaspidida,Parameteoraspididae,Devonian,Lower,Emsian,,Wood Bay,Lykta Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Pattenaspis,acuminata,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Corvaspis, primaeva horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,artensis,,,Devonian,Lower,Lochkovian,Lievin,Pernes,,Pas-de-Calais France,415,414,Turner 1999
Osteotracans,Pattenaspis,divaricata,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Primaeva, Anglaspis? Horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,deltoides,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Anglaspis Horizon,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,eukeraspidoides,,,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,Benneviaspis Horizon,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Pattenaspis,eurhynchus,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Corvaspis, primaeva, Anglaspis? horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,foeyni,,,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,Vogti Horizon,Spitsbergen,415,413,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Pattenaspis,heintzi,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Primaeva, Anglaspis Horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
