Group,Genus,Species,1,2,3,Superfamily,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Conodont,Ozarkodina,ex gr. confluens,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,,Sheinwoodian,,,Jaagarahu Formation,Tagavere Member,"Viki core, Estonia",431.5,428.5,Mannik 2010; Boucot & Janis 1983 for BA
Conodont,Ozarkodina,hassi,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,Llandovery,Rhuddanian,,,Gun River Formation,,"Anticosti Island, Quebec, Canada",444,441,Zhang & Barnes 2002
Conodont,Palmatolepis,crepida,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Krtiny Limestone Formation,,"Mokra, Czech Republic",382,372,Friakova et al 1985
Conodont,Palmatolepis,crepida,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Vilemovice Limestone Formation,,"Mokra, Czech Republic",382,372,Friakova et al 1985
Conodont,Palmatolepis,distorta,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Krtiny Limestone Formation,,"Mokra, Czech Republic",382,372,Friakova et al 1985
Conodont,Palmatolepis,hassi,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Evtropina Formation,,"Northern Urals, Russian Federation",382,372,Puchkov et al. 1981
Conodont,Palmatolepis,gigas,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Xom Nha Formation,,"Rao Cai, Vietnam",382,372,Tong-Dzuy ey al. 1988
Conodont,Palmatolepis,gigas,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Evtropina Formation,,"Northern Urals, Russian Federation",382,372,Puchkov et al. 1981
Conodont,Palmatolepis,glabra,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Krtiny Limestone Formation,,"Mokra, Czech Republic",382,372,Friakova et al 1985
Conodont,Pandorinellina,optima,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Lochkovian,,,,,"New South Wales, Australia",419,410,Farrell 2004
Conodont,Pandorinellina,optima,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Lochkovian,,,Rauchkofel Formation,,"Wolayer area, Mt Seewarte, Austria",419,410,Suttner 2007
Conodont,Pandorinellina,cf. ebzeryi,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Lochkovian,,,Rauchkofel Formation,,"Wolayer area, Mt Seewarte, Austria",419,410,Suttner 2007
Conodont,Pandorinellina,cf. ebzeryi,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Lochkovian,,,Rauchkofel Formation,,"Wolayer area, Mt Seewarte, Austria",419,410,Suttner 2007
Conodont,Paracordylodus,sp.,Prioniodontida,,,,,Ordovician,,Arenig,,,Xia Majiagou Formation,,"TangShan City, HeBei, China",473,466,Lai et al. 1982
Conodont,Paracordylodus,sp.,Prioniodontida,,,,,Ordovician,,Arenig,,,San Juan Formation,,"Rio Gualcamayo, Argentina",471,466,Keller et al. 1994
Conodont,Periodon,flabellum,Prioniodontida,Ozarkodinida,,,,Ordovician,Floian,,,,Volkhov Stage Formation,Dikari Member,"Putilovo Quarry, north-western Russia",477,471,Tolmacheva et al 2003
Conodont,Phragmodus,sp.,Prioniodontida,,,,,Ordovician,Llandeilo,early,,,Tchertovskii Formation,,"Zagor Stream and Kulumbe River Valley, Siberia",461,458,Sokolov 1982
Conodont,Phragmodus,sp.,Prioniodontida,,,,,Ordovician,Llandeilo,early,,,Kurenskii-Kudiin Formation,,"Zagor Stream and Kulumbe River Valley, Siberia",461,458,Sokolov 1982
Conodont,Phragmodus,sp.,Prioniodontida,,,,,Ordovician,Llandeilo,early,,,Voginskii Formation,,"Zagor Stream and Kulumbe River Valley, Siberia",461,458,Sokolov 1982
Conodont,Plectodina,sp.,Prioniodontida,Ozarkodinida,,,,Ordovician,Arenig,,,,Xia Majiagou Formation,3 Member,"HeBei Province, China",473,466,North China Stratigraphic Group 1979
Conodont,Polygnathus,eberieini,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Pragian,,,Soda Creek Formation,,"Reef Ridge, Alaska",410,407,Blodgett et al. 1999
Conodont,Prioniodina,sardinia,Prioniodontida,Ozarkodinida,Prioniodinina,,,Devonian,,Eifelian,,Broken River Group,Jessey Springs limestone,,"Broken River, North Queensland, Australia",393,387,Mawson & Talent 1989
Conodont,Prionodus (Baltoniodus),prevaribilis,Prioniodontida,,Balognathidae,,,Ordovician,,,Volkhov,,Langevoja Limestone Formation,,"Kalmar, Sweden",470,466,Berg-Madsen 1987
Conodont,Promissum,pulchrum,Prioniodontida,,Balognathidae,,,Ordovician,,Hirnantian,,,Cedarburg Formation,Soom Shale Member,"SE of Clanwilliam, Cape, South Africa",445,444,Cocks and Fortey 1986
Conodont,Pteraspathodus,amorphognathoides,Prioniodontida,,Balognathidae,,,Silurian,Llandovery,AERONIAN,,Bolotino series,,Tremetsy member,"Podolia, Ukraine",440,439,Gritsenko et al 1999
Conodont,Pteraspathodus,pennatus,Prioniodontida,,Balognathidae,,,Silurian,Llandovery,Aeronian (middle),,,Gun River Formation,,"Anticosti Island, Quebec, Canada",440,439,Zhang & Barnes 2002; Nowlan 1983 for date
Conodont,Pteraspathodus,cf. celloni,Prioniodontida,,Balognathidae,,,Silurian,Llandovery,Aeronian (middle),,,Gun River Formation,,"Anticosti Island, Quebec, Canada",440,439,Zhang & Barnes 2002; Nowlan 1983 for date
Conodont,Sagittodontina,sp.,Prioniodontida,,Balognathidae,,,Ordovician,Ashgill,,Kralodvorian,,Cystoid (Ashgill) Limestone Formation,,"Zaragoza, Spain",449,445,Carls 1975
Conodont,Sagittodontina,cf robusta,Prioniodontida,,Balognathidae,,,Ordovician,,,Kralodvorian,,Kraluv Dvur ,Pernik Beds Member,Czech Republic,449,445,Ferretti 1998
Conodont,Yaoxianognathus,yaoxianensis,,,,,,Ordovician,Upper Katian,"""Ashgillian""",,,Lianglitag Formation,,"Bachu section, north margin Tarim Basin",451,445,Zhi-hao et al. 2007; Zhang et al 2014 for the environment of reefal structures
