"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Diancistrus_brevirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"Diancistrus_eremitus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,21,0,0,12,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,71,0
"Diancistrus_erythraeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,6,0,0,0,23,0,0,0,0,12,0,0,0,0,0,78,0
"Diancistrus_fijiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"Diancistrus_fuscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,5,0,0,0,0,0,22,0,0,7,0,0,0,0,44,0,0,53,13,0,0,0,0,0,0,0,54,0,0,0,26,0,8,0,0,27,0,0,0,0,0,172,0
"Diancistrus_jeffjohnsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45,0,0,0,2,0,0,0,0,0,4,0,0,26,0,0,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4,62,0
"Diancistrus_karinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,20,0,3,0,0,0,0,0,0,0,0,161,0
"Diancistrus_leisi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"Diancistrus_longifilis",0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,12,0,0,2,0,0,4,0,0,0,3,0,0,26,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,67,0,0,0,0,0,0,0,0,0,0
"Diancistrus_machidai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,162,0
