	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Aspredinidae	286.000	18.267	46.300	41.167	0.000	38.400	38.067
Ateleopodidae	193.000	42.667	28.567	0.000	0.000	0.000	0.000
Atherinidae	64.000	12.200	8.100	5.500	7.750	0.000	0.000
Atherinopsidae	86.130	17.100	9.220	5.100	8.150	0.000	0.000
Auchenipteridae	173.667	47.167	37.567	48.367	0.000	48.733	48.567
Aulorhynchidae	117.850	8.180	7.300	0.500	0.830	0.000	0.000
Aulostomidae	222.670	14.430	9.270	13.520	13.230	0.000	0.000
Bagridae	205.000	47.767	44.767	31.933	0.000	37.833	37.567
Balitoridae	58.400	10.333	9.567	0.000	0.000	0.000	0.000
Bathydraconidae	125.050	16.100	11.300	16.000	13.000	0.000	0.000
Bathylagidae	136.000	28.267	15.267	0.000	0.000	0.000	0.000
Bathymasteridae	132.800	22.600	14.550	16.800	12.650	0.000	0.000
Bathysauridae	354.500	34.300	39.900	0.000	0.000	0.000	0.000
Batrachoididae	52.450	9.100	6.670	1.350	2.720	0.000	0.000
Belonidae	154.000	7.670	6.670	5.070	8.430	0.000	0.000
Bembridae	147.000	19.630	19.600	23.300	12.750	0.000	0.000
Berycidae	152.650	65.180	24.650	22.980	22.400	0.000	0.000
Blenniidae	78.250	20.980	11.780	8.320	6.600	0.000	0.000
Bothidae	106.230	49.050	5.380	14.420	11.120	0.000	0.000
Bovichtidae	89.250	17.550	23.450	13.900	10.050	0.000	0.000
Bramidae	240.000	115.100	30.700	47.300	20.600	0.000	0.000
Bregmacerotidae	56.830	8.930	4.470	8.900	3.000	0.000	0.000
Bythitidae	78.900	17.170	11.600	6.470	6.570	0.000	0.000
Caesionidae	89.400	26.380	13.520	13.430	11.030	0.000	0.000
Callanthiidae	143.300	48.150	22.950	15.400	19.850	0.000	0.000
Callichthyidae	159.667	46.133	39.533	14.733	13.367	37.967	37.833
Callionymidae	108.470	10.630	17.400	14.300	13.880	0.000	0.000
Caproidae	80.500	95.830	14.170	25.200	11.770	0.000	0.000
Carangidae	104.500	70.320	15.720	5.030	6.070	0.000	0.000
Carapidae	159.600	11.950	6.350	1.200	1.000	0.000	0.000
Catostomidae	212.000	44.433	37.800	0.000	0.000	0.000	0.000
Centracanthidae	107.030	36.600	16.430	15.070	11.400	0.000	0.000
Centrarchidae	128.900	53.400	25.000	17.650	16.000	0.000	0.000
Centriscidae	127.770	29.420	12.100	29.080	4.840	0.000	0.000
Centrogenyidae	110.150	42.200	24.650	18.550	27.700	0.000	0.000
Centrolophidae	180.000	63.500	29.800	24.300	12.000	0.000	0.000
Centropomidae	154.670	43.330	19.000	30.370	40.900	0.000	0.000
Cepolidae	117.420	15.970	6.970	8.200	8.080	0.000	0.000
Cetomimidae	93.500	23.900	10.400	4.900	4.900	0.000	0.000
Cetopsidae	195.333	47.500	35.167	0.000	0.000	0.000	0.000
Chaenopsidae	36.320	5.470	3.370	3.100	1.500	0.000	0.000
Chaetodontidae	108.600	78.350	18.600	21.000	16.900	0.000	0.000
Champsodontidae	107.630	18.970	13.100	9.730	9.500	0.000	0.000
Chanidae	185.333	51.633	27.967	30.967	0.000	0.000	0.000
Channichthyidae	142.300	17.900	8.500	17.200	8.600	0.000	0.000
Channidae	81.180	16.880	14.180	10.300	8.400	0.000	0.000
Characidae	41.500	17.667	6.367	0.000	0.000	0.000	0.000
Chaunacidae	48.870	16.530	15.700	6.100	5.300	0.000	0.000
Cheilodactylidae	229.000	83.050	37.200	20.200	37.050	0.000	0.000
Chiasmodontidae	207.000	30.600	23.900	22.100	18.600	0.000	0.000
Chilodontidae	65.567	23.833	10.433	0.000	0.000	0.000	0.000
Chironemidae	71.570	21.600	11.370	9.200	7.930	0.000	0.000
Chlopsidae	148.667	7.933	6.633	0.000	0.000	0.000	0.000
Chlorophthalmidae	141.667	20.667	21.767	0.000	0.000	0.000	0.000
Cichlidae	44.500	17.220	7.800	6.670	7.050	0.000	0.000
Cirrhitidae	69.300	27.000	8.600	8.200	9.500	0.000	0.000
Citharinidae	145.000	68.833	24.867	0.000	0.000	0.000	0.000
Clariidae	253.667	41.500	46.500	0.000	0.000	28.600	29.167
Claroteidae	206.667	45.800	46.367	44.333	0.000	39.700	38.467
Clinidae	85.500	21.050	11.250	10.950	5.300	0.000	0.000
Clupeidae	181.000	44.200	20.233	0.000	0.000	0.000	0.000
Cobitidae	113.000	12.933	10.400	0.000	0.000	0.000	0.000
Colocongridae	376.500	48.250	30.900	0.000	0.000	0.000	0.000
Congiopodidae	113.930	45.720	16.670	27.300	19.170	0.000	0.000
