Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Gyracanthides,murrayi,Acanthodii,Tournaisian,,,Denison 1979,Warren et al 2000,50,,,No,NA,NA,NA,Yes,Yes,No,"Fin spines - Also has plate like things, but probably just flat spines",No,NA,NA,NA,
Oracanthus,pustulosus,Acanthodii,Tournaisian,,,Patterson 1965,,65,,,,,,,,,,,,,,,"I think this is actually a type of holocephalan, and is just isolated bits - RPD"
Gyracanthides,hawkinsi,Acanthodii,Visean,,,Turner et al. 2005,,100,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Gyracanthides,sp.1,Acanthodii,Eifelian,,,Long 2011,,150,,,,,,,,,,,,,,,Can't find article for Gyracanthides sp. - RPD
Machaeracanthus,bohemicus,Acanthodii,Lochkovian-Emsian,,,Denison 1979,,200,,,?,?,?,?,?,?,?,?,?,?,?,?,This is just isolated spines and scales - RPD
Bourbonella,jocelynae,Actinopterygii,Serpukhovian,,,Mickle 2011,,3,,,,,,,,,,,,,,,
Prohapolepis,scotica,Actinopterygii,Serpukhovian,,,Lowney 1983,,4,,,,,,,,,,,,,,,
Rhadinichthys,elegantulus,Actinopterygii,Visean,,,Berg et al. 1967,,4.5,,,,,,,,,,,,,,,
Ganolepis,gracilis,Actinopterygii,Tournaisian,,,Woodward 1893,,5,,,,,,,,,,,,,,,
Oxypteriscus,minimus,Actinopterygii,Tournaisian,,,Berg et al. 1967,,5,,,,,,,,,,,,,,,
Ministrella,longicauda,Actinopterygii,Tournaisian,,,Berg et al. 1967,,5,,,,,,,,,,,,,,,
Gyrolepitodus,sp.,Actinopterygii,Tournaisian,,,Berg et al. 1967,,5,,,,,,,,,,,,,,,
Gonatodus,punctatus,Actinopterygii,Visean,,,Traquair 1907,,5,,,,,,,,,,,,,,,
Melanecta,anneae,Actinopterygii,Serpukhovian,,,Coates 1993,,5,,,,,,,,,,,,,,,
Mesopoma,pancheni,Actinopterygii,Serpukhovian,,,Coates 1993,,5.5,,,,,,,,,,,,,,,
Frederichthys,musadentatis,Actinopterygii,Serpukhovian,,,Coates 1993,,5.7,,,,,,,,,,,,,,,
Limnomis,delaneyi,Actinopterygii,Famennian,,,Daeschler 2000,,6,,,,,,,,,,,,,,,
Elonichthys,striatulus,Actinopterygii,Visean,,,Traquair 1881,,6,,,,,,,,,,,,,,,
Mesopoma,planti,Actinopterygii,Serpukhovian,,,Coates 1999,,6,,,,,,,,,,,,,,,
Discoserra,pectinodon,Actinopterygii,Serpukhovian,,,Lund 2000,,6,,Small things,Yes,No,Yes,Dermal plates,No,-,-,-,No,-,-,-,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Guildayichthys,carnegiei,Actinopterygii,Serpukhovian,,,Lund 2000,,6,,,,,,,,,,,,,,,
Mesopoma,politum,Actinopterygii,Visean,,,Frickhinger 1991,,7,,,,,,,,,,,,,,,
Canobius,elegantulus,Actinopterygii,Visean,,,Moy-Thomas 1934,,7,,,,,,,,,,,,,,,
Mesopoma,carricki,Actinopterygii,Serpukhovian,,,Coates 1993,,7,,,,,,,,,,,,,,,
Guntherichthys,lehiensis,Actinopterygii,Serpukhovian,,,Mickle 2011,,7.5,,,,,,,,,,,,,,,
Mesopoma,pulchellum,Actinopterygii,Visean,,,Frickhinger 1991,,8,,,,,,,,,,,,,,,
Mesopoma,smithsoni,Actinopterygii,Serpukhovian,,,Coates 1993,,8,,,,,,,,,,,,,,,
Apholidotus,ossna,Actinopterygii,Serpukhovian,,,Frickhinger 1991,,8,,,,,,,,,,,,,,,
Phanerosteon,ovensi,Actinopterygii,Tournaisian,,,Smithson et al. 2012,,9,,,,,,,,,,,,,,,
Rhadinichthys,alberti,Actinopterygii,Tournaisian,,,Lambe 1910,,9,,,,,,,,,,,,,,,
Tarrasius,problematicus,Actinopterygii,Visean,,,Sallan 2012,,9,,,,,,,,,,,,,,,
Cherodopsis,geikei,Actinopterygii,Visean,,,Frickhinger 1991,,9,,,,,,,,,,,,,,,
Aesopichthys,erinaceus,Actinopterygii,Serpukhovian,,,Poplin & Lund 2000,,9,,,,,,,,,,,,,,,
Rhadinichthys,monensis,Actinopterygii,Serpukhovian,,,Wellburn 1900,,9,,,,,,,,,,,,,,,
Lineagruan,judithi,Actinopterygii,Serpukhovian,,,Mickle et al. 2009,,9.5,,,,,,,,,,,,,,,
Kalops,diophrys,Actinopterygii,Serpukhovian,,,Poplin & Lund 2002,,9.6,,,,,,,,,,,,,,,
Moythomasia,durgaringa,Actinopterygii,Frasnian,,,Daeschler 2000,,10,,,,,,,,,,,,,,,
Krasnoyarichthys,jesseni,Actinopterygii,Famennian,,,Prokofiev 2002,,10,,,,,,,,,,,,,,,
Kentuckia,hlavini,Actinopterygii,Famennian,,,Frickhinger 1991,,10,,,,,,,,,,,,,,,
Senekichthys,hirundo,Actinopterygii,Tournaisian,,,Prokofiev 2004,,10,,,,,,,,,,,,,,,
Mansfieldiscus?,gibbus,Actinopterygii,Tournaisian,,,Long 1988,,10,,,,,,,,,,,,,,,
Adroichthys,tuberculatus,Actinopterygii,Visean,,,Gardiner 1969,,10,,,,,,,,,,,,,,,
Sundayichthys,cromptoni,Actinopterygii,Visean,,,Gardiner 1969,,10,,,,,,,,,,,,,,,
Elonichthys,robisoni,Actinopterygii,Visean-Serpukhovian,,,Traquair 1881,,10,,,,,,,,,,,,,,,
Drydenius,insignius,Actinopterygii,Visean-Serpukhovian,,,Frickhinger 1991,,10,,,,,,,,,,,,,,,
Proceramala,montanensis,Actinopterygii,Serpukhovian,,,Poplin & Lund 2000,,10,,,,,,,,,,,,,,,
Fubarichthys,copiosus,Actinopterygii,Serpukhovian,,,"Lowney, 1980",,10,,,,,,,,,,,,,,,
Beagiascus,pulcherrimus,Actinopterygii,Serpukhovian,,,Mickle et al. 2009,,10,,,,,,,,,,,,,,,
Spinofacia,pectinatus,Actinopterygii,Serpukhovian,,,Mickle 2011,,10,,,,,,,,,,,,,,,
Aestaurichthys,fulcratus,Actinopterygii,Visean,,,Gardiner 1969,,10.5,,,,,,,,,,,,,,,
Elonichthys,browni,Actinopterygii,Tournaisian,,,Hussakof & Bryant 1918,,11,,,,,,,,,,,,,,,
Rhadinichthys,carinatus,Actinopterygii,Visean,,,Traquair 1907,,11,,,,,,,,,,,,,,,
Wardichthys,cyclosoma,Actinopterygii,Visean,,,"Sallan and Coates, 2013",,11,,,,,,,,,,,,,,,
Rhadinichthys,fusiformis,Actinopterygii,Visean,,,Frickhinger 1991,,11,,,,,,,,,,,,,,,
Woodichthys,sp.,Actinopterygii,Serpukhovian,,,Photo,,11,,,,,,,,,,,,,,,
Wendyichthys,lautreci,Actinopterygii,Serpukhovian,,,Lund & Poplin 1997,,11,,,,,,,,,,,,,,,
Kalops,monophrys,Actinopterygii,Serpukhovian,,,Poplin & Lund 2002,,11.6,,,,,,,,,,,,,,,
Dialipina,salgueroensis,Actinopterygii,Emsian,,,Basden & Young 2001,,12,,,,,,,,,,,,,,,
Cuneognathus,gardineri,Actinopterygii,Famennian,,,Friedman & Blom 2006,,12,,,,,,,,,,,,,,,
Palaeobergia,microlepis,Actinopterygii,Tournaisian,,,Berg et al. 1967,,12,,,,,,,,,,,,,,,
Aetheretmon,valentiacum,Actinopterygii,Tournaisian,,,Smithson et al. 2012,,12,,,,,,,,,,,,,,,
Fouldenia,ischyptera,Actinopterygii,Tournaisian,,,"Sallan and Coates, 2013",,12,,,,,,,,,,,,,,,
Mentzichthys,theroni,Actinopterygii,Visean,,,Gardiner 1969,,12,,,,,,,,,,,,,,,
Dwykia,anaensis,Actinopterygii,Visean,,,Gardiner 1969,,12,,,,,,,,,,,,,,,
Holurus,parki,Actinopterygii,Visean,,,Berg et al. 1967,,12,,,,,,,,,,,,,,,
Canobius,ramseyi,Actinopterygii,Visean,,,Frickhinger 1991,,12,,,,,,,,,,,,,,,
Rhadinichthys,canobiensis,Actinopterygii,Visean,,,Moy-Thomas 1934,,12,,,,,,,,,,,,,,,
Cycloptychius,concentricus,Actinopterygii,Visean,,,Berg et al. 1967,,12,,,,,,,,,,,,,,,
Elonichthys,serratus,Actinopterygii,Visean,,,Traquair 1881,,12,,,,,,,,,,,,,,,
Wendyichthys,dicksoni,Actinopterygii,Serpukhovian,,,Lund & Poplin 1997,,12,,,,,,,,,,,,,,,
Cryphiolepis,striatus,Actinopterygii,Serpukhovian,,,Traquair 1881,,12,,,,,,,,,,,,,,,
Lineagruan,snowyi,Actinopterygii,Serpukhovian,,,Mickle et al. 2009,,12.3,,,,,,,,,,,,,,,
Paramesolepis,rhombus,Actinopterygii,Visean,,,"Sallan and Coates, 2013",,13,,,,,,,,,,,,,,,
Paramesolepis,tuberculata,Actinopterygii,Visean,,,"Sallan and Coates, 2013",,13,,,,,,,,,,,,,,,
Atracauda,lundi,Actinopterygii,Serpukhovian,,,Frickhinger 1991,,13,,,,,,,,,,,,,,,
Paratarrasius,hibbardi,Actinopterygii,Serpukhovian,Marine,Bear Gulch,Lund & Melton 1982,,13.6,,Small things,Yes,No,Yes,Dermal plates,No,-,-,-,No,-,-,-,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Howqualepis,youngorum,Actinopterygii,Givetian,,,Choo 2009,,14,,,,,,,,,,,,,,,
Phanerosteon,mirabile,Actinopterygii,Visean,,,Moy-Thomas and Miles 1971,,14,,,,,,,,,,,,,,,
Stegotrachelus,finlayi,Actinopterygii,Givetian-Frasnian,,,Swartz 2009,,14.6,,,,,,,,,,,,,,,
Moythomasia,striatus,Actinopterygii,Eifelian-Frasnian,,,Gross 1953,,15,,,,,,,,,,,,,,,
Moythomasia,nitida,Actinopterygii,Frasnian,,,Choo 2011,,15,,,,,,,,,,,,,,,
Australichthys,longidorsalis,Actinopterygii,Visean,,,Gardiner 1969,,15,,,,,,,,,,,,,,,
Mesopoma,crassum,Actinopterygii,Visean,,,Moy-Thomas 1934,,15,,,,,,,,,,,,,,,
Cyranorhis,bergeraci,Actinopterygii,Serpukhovian,,,Lund & Poplin 1997,,15,,,,,,,,,,,,,,,
Elonichthys,obliquuis,Actinopterygii,Serpukhovian,,,Wellburn 1903,,15,,,,,,,,,,,,,,,
Strepheoschema,fouldenensis,Actinopterygii,Tournaisian,,,"Gardiner, 1985",,16,,,,,,,,,,,,,,,
Styracopterus,fulcratus,Actinopterygii,Visean,,,"Sallan and Coates, 2013",,16,,,,,,,,,,,,,,,
Proteurynotus,sp.,Actinopterygii,Visean,,,"Sallan and Coates, 2013",,16,,,,,,,,,,,,,,,
Eurynotus,crenatus,Actinopterygii,Visean-Serpukhovian,,,Frickhinger 1991,,17,,,,,,,,,,,,,,,
Mentzichthys,maraisi,Actinopterygii,Visean,,,Gardiner 1969,,18,,,,,,,,,,,,,,,
Platysomus,superbus,Actinopterygii,Visean,,,Moy-Thomas 1934,,18,,,,,,,,,,,,,,,
