Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (cm),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Heddleichthys_dalgleisiensis,Sarcopterygii,Famennian,,,,,50,,Snitting 2009,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Snitting 2009, fig.3 skull, fig. 5 postcranial skeleton.  https://doi.org/10.1111/j.1463-6395.2008.00376.x",,
Langlieria_socqueti,Sarcopterygii,Famennian,,,,,79,,Clement et al. 2009,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Clement et al. 2009, fig. 2-4, skull roof. https://doi.org/10.1111/j.1475-4983.2009.00876.x",,
Sunwapta_grandiceps,Sarcopterygii,Famennian,,,,,100,,Thomson 1967,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Thomson 1967, fig. 1, symphisial region of lower jaws only. https://images.peabody.yale.edu/publications/postilla/Postilla106_1967.pdf",,
Uzunbulaklepis_obruchevi,Sarcopterygii,Famennian,,,,,100,,Vorobyeva & Panteleyev 2005,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Gyroptychius_pauli,Sarcopterygii,Famennian,,,,,20,,Vorobyeva 1977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Edenopteron_kiethcrooki,Sarcopterygii,Famennian,,,,,250,,Young et al. 2013,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Young et al. 2013, fig.3-20, incomplete skull and shoulder girdle.  https://doi.org/10.1371/journal.pone.0053871",,
Osteolepididae_indet.,Sarcopterygii,Famennian,,,,,18.8,,Schultze & Chorn 1998,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT A SPECIES,,
Thursius_estonicus,Sarcopterygii,Famennian,,,,,29,,Vorobyeva 1977,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,Known from fragments only. https://fossiilid.info/3758?mode=in_baltoscandia&lang=en,,
Viluichthys_fradkini,Sarcopterygii,Famennian,,,,,59,,Vorobyeva 1977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Lamprotolepis_verrucosa,Sarcopterygii,Famennian,,,,,45,,Vorobyeva 1977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Barameda_decipiens,Sarcopterygii,Tournaisian,,,,,200,,Garvey et al. 2005,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garvey et al 2005, pectoral fin only. https://doi.org/10.1671/0272-4634(2005)025[0008:ROTPFA]2.0.CO;2",,
Delatitia_breviceps,Sarcopterygii,Tournaisian,,,,,80,,Long & Campbell 1985,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Long & Campbell 1985, fig. 1 skull roof. https://www.biodiversitylibrary.org/part/303050",,
Strepsodus?_anculonamensis,Sarcopterygii,Tournaisian,,,,,35,,Johanson & Ahlberg 1998,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Andrews 1985, fig. 1. https://doi.org/10.1017/S0263593300010324",,
Rhabdoderma_sp.,Sarcopterygii,Tournaisian,,,,,22,,Dineley 1996,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT A SPECIES,,
Letognathus_hardingi,Sarcopterygii,Tournaisian,,,,,92,,Brazeau 2005,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Pycnoctenion_jacuticus,Sarcopterygii,Tournaisian,,,,,62,,Vorobyeva 1977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Coelacanthus_welleri,Sarcopterygii,Tournaisian-Visean,,,,,19,,Eastman 1908,,1,0,1,NA,1,0,0,NA,Q1,Q0,Q0,NA,"Eastman, 1908, fig.1. Full skeleton with head and tail poorly preserved. Spines on operculum! https://www.journals.uchicago.edu/doi/pdf/10.1086/621517",,
Megalichthys_laticeps,Sarcopterygii,Visean,,,,,27,,Traquair 1884,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Traquair 1884, plate V. Illustration only. https://doi.org/10.1017/S001675680016474X",,
Strepsodus_sauroides,Sarcopterygii,Visean-Serpukhovian,,,,,190,,Johanson et al. 2000,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Jeffery, 2006,  https://doi.org/10.1111/j.1475-4983.2005.00531.x, Known from teeth and fragments only. See also https://data.nhm.ac.uk/dataset/56e711e6-c847-4f99-915a-6894bb5c5dea/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?__no_cache__=True&view_id=6ba121d1-da26-4ee1-81fa-7da11e68f68e&filters=chronostratigraphy%3ACarboniferous%2C+Pennsylvanian%7Cfamily%3Arhizodontidae",,
Rhizodus_hibberti,Sarcopterygii,Visean-Serpukhovian,,,,,700,,Vorobyeva & Obruchev 1967,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,Known from fragments only. https://www.ucl.ac.uk/museums-static/obl4he/vertebratepalaeo/34_rhizodus.html,,
Rhabdoderma_elegans,Sarcopterygii,Visean-Serpukhovian,,,,,18,,Forey 1981,,1,0,0,NA,1,0,0,NA,1,0,0,NA,Return to this species as unsure if dorsal spines or not…. http://www.thefossilforum.com/index.php?/collections-database/chordata/fishes/rhabdoderma-elegans-newberry-1856-r637/,,
Rhabdoderma_ardrossense,Sarcopterygii,Visean,,,,,11.7,,Forey 1981,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Moy-Thomas 1937. Description only, no images available. ",,
Rhabdoderma_huxleyi,Sarcopterygii,Visean-Serpukhovian,,,,,16,,Forey 1981,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Moy-Thomas 1937. Description only, no images available.",,
Rhabdoderma_tingleyense,Sarcopterygii,Visean,,,,,45,,Forey 1981,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Moy-Thomas 1937. Description only, no images available.",,
Coelacanthopsis_curta,Sarcopterygii,Visean,,,,,9,,Frickhinger 1991,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.947",,
Cladarosymblema_narrienense,Sarcopterygii,Visean,,,,,22,,Fox et al. 1995,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Fox et al. 1995, fig.5+6, head - trunk. https://researchnow.flinders.edu.au/en/publications/a-new-osteolepiform-fish-from-the-lower-carboniferous-raymond-for",,
Floydus_punicellus,Sarcopterygii,Visean,,,,,97,,Snyder 2006,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Snyder 2006, fig.23+25, known from crushed disarticulated fragments only. https://iro.uiowa.edu/discovery/delivery/01IOWA_INST:ResearchRepository/12730690460002771?l#13730719680002771",,
Screbinodus_ornatus,Sarcopterygii,Visean-Serpukhovian,,,,,150,,Jeffery 2012,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Jeffery 2012, fig.1, skull only. https://doi.org/10.1080/14772019.2011.595961",,
Uronemus_splendens,Sarcopterygii,Visean-Serpukhovian,,,,,70,,Smith et al. 1987,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Straitonia_waterstoni,Sarcopterygii,Visean-Serpukhovian,,,,,50,,Sharp & Clack 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Allenypterus_montanus,Sarcopterygii,Serpukhovian,,,,,15,,Lund & Grogan 2005,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes,  p.943. See also https://www.flickr.com/photos/timevanson/27497181101/",,
Caridosuctor_populosum,Sarcopterygii,Serpukhovian,,,,,25,,Lund & Grogan 2005,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.946. See also http://www.fossilmuseum.net/Fossil_Sites/beargulch/caridosuctor-populosum/caridosuctor-populosumb.htm",,
Hadronector_donbairdi,Sarcopterygii,Serpukhovian,,,,,12,,Lund & Grogan 2005,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.944",,
Lochmocerceus_aciculodontus,Sarcopterygii,Serpukhovian,,,,,10,,Lund & Lund 1984,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.942",,
Polyosterohynchus_beargulchensis,Sarcopterygii,Serpukhovian,,,,,15,,Lund & Grogan 2005,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Frickhinger 1995, Fossil Atlas: Fishes, p.945",,
Rhizodopsis_sauroides,Sarcopterygii,Serpukhovian,,,,,30,,Moy-Thomas 1971,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Archichthys_sulcidens,Sarcopterygii,Serpukhovian,,,,,91,,Jeffery 2006,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Jeffery 2006, fig. 1  (e),, Known from teeth and fragments only. https://doi.org/10.1111/j.1475-4983.2005.00531.x",,
Unnamed_sp.,Sarcopterygii,Serpukhovian,,,,,400,,Garcia et al. 2006,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Panderichthys_rhombolepis,Tetrapoda,Givetian-Frasnian,,,,,100,,Ahlberg & Clack 1996,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Ahlberg&Clack 2006 fig.1 braincase. https://www.nature.com/articles/381061a0 Boisvert 2005, fig. 1, head trunk pelvis missing tail. https://doi.org/10.1038/nature04119",,
Tiktaalik_roseae,Tetrapoda,Givetian-Frasnian,,,,,100,,Daeschler et al. 2006,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Daeschler et al. 2006, fig.2 skull and pectoral region, http://doi.org/10.1038/nature04639",,
Parapanderichthys_stolbovi,Tetrapoda,Frasnian,,,,,150,,Vorobyeva 1977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Elginerpeton_pancheni,Tetrapoda,Frasnian,,,,,230,,Ahlberg 1995,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Ahlberg 1995, fig.1, holotype is incomplete right mandible. https://doi.org/10.1038%2F373420a0",,
Acanthostega_gunnari,Tetrapoda,Famennian,,,,,70,,Clack 2002,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Porro et al. 2015, fig. 1. https://doi.org/10.1371/journal.pone.0118882",,
Ichthyostega_stensioei,Tetrapoda,Famennian,,,,,130,,Blom 2005,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Blom 2005, fig. 6 skull holotype,  https://doi.org/10.1111/j.1475-4983.2004.00435.x",,
Ichthyostega_watsoni,Tetrapoda,Famennian,,,,,56,,Blom 2005,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Blom 2005, fig. 7 skull holotype,  https://doi.org/10.1111/j.1475-4983.2004.00435.x",,
Ichthyostega_eigili,Tetrapoda,Famennian,,,,,92,,Blom 2005,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Blom 2005, fig. 6 skull holotype,  https://doi.org/10.1111/j.1475-4983.2004.00435.x",,
Metaxygnathus_denticulus,Tetrapoda,Famennian,,,,,70,,Campbell & Bell 1977,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Campbell & Bell 1977, fig. 4, known from mandible only, https://doi.org/10.1080/03115517708527771",,
Densignathus_rowei,Tetrapoda,Famennian,,,,,100,,Ahlberg et al. 2005,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Daeschler 2000, fig.2+3, known from mandible only, https://doi.org/10.1017/s0022336000031504",,
Ventastega_curonica,Tetrapoda,Famennian,,,,,110,,Ahlberg & Clack 2008,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Ahlberg et al. 2008, fig.1+2, braincase, shoulder girdle and partial pelvis. https://www.nature.com/articles/nature06991",,
Ymeria_denticulata,Tetrapoda,Famennian,,,,,70,,Clack et al. 2012,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Marzola et al. 2018, fig. 7, partial skull with lower jaw. http://dx.doi.org/10.37570/bgsd-2018-66-02",,
Tulerpeton_curtum,Tetrapoda,Famennian,,,,,90,,Lebedev & Coates 1995,,0,NA,NA,NA,Q1,Q0,Q0,NA,0,NA,NA,NA,"Lebedev 1995, fig. 2 (illustration only no photo!) forelimb hindlimb and pectoral girdle. https://doi.org/10.1111/j.1096-3642.1995.tb00119.x ",,
Pederpes_finneyae,Tetrapoda,Tournaisian,,,,,65,,Clack & Finney 2005,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Clack 2002, fig. 1,  missing tail and part of the skull and some limb elements. https://www.nature.com/articles/nature00824",,
Occidens_portlocki,Tetrapoda,Tournaisian,,,,,100,,Clack & Ahlberg 2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Crassigyrinus_sp.,Tetrapoda,Tournaisian,,,,,120,,Smithson et al.  2012,,1,0,0,NA,Q0,NA,NA,NA,0,NA,NA,NA,"Panchen 1985, https://doi.org/10.1098/rstb.1985.0095. Panchen&Smithson 1990, fig.3 pelvic girdle and hind limb, https://doi.org/10.1017/S0263593300005113",,
Small tetrapod_indet.,Tetrapoda,Tournaisian,,,,,40,,Smithson et al.  2012,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Smithson et al.  2012, fig. 4, known from fragments only. https://doi.org/10.1073/pnas.1117332109",,
Ribbo_sp.,Tetrapoda,Tournaisian,,,,,85,,Smithson et al.  2012,,0,NA,NA,NA,Q1,Q0,Q0,NA,0,NA,NA,NA,"Smithson et al.  2012, fig. 3, disrupted postcranial skeleton lacking tail. https://doi.org/10.1073/pnas.1117332109",,
Lethiscus_stocki,Tetrapoda,Visean,,,,,49,,Wellstead 1982,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Wellstead 1982, skull and postcranial skeleton.  http://go.palass.org/46i",,
Casineria_kiddi,Tetrapoda,Visean,,,,,15,,Paton et al. 1999,,0,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,"Paton et al. 1999, fig. 2, near complete postcranial skeleton. https://www.nature.com/articles/19071. See also https://www.nms.ac.uk/explore-our-collections/collection-search-results/stem-amniote-tetrapod/238005",,
Ossinodus_pueri,Tetrapoda,Visean,,,,,150,,Warren 2007,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Warren 2007, fig. 2 partial skull. https://doi.org/10.1671/0272-4634(2007)27[850:NDOOPA]2.0.CO;2",,
Palaeomolgophis_scoticus,Tetrapoda,Visean,,,,,15,,Brough & Brough 1967,,1,0,0,NA,1,0,0,NA,1,0,0,NA,Skeleton lacking limbs. http://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25001114,,
Whatcheeria_deltae,Tetrapoda,Visean,,,,,100,,Lombard & Bolt 1995,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Lombard & Bolt 1995, plate 1, skull partial vertebral column. https://www.palass.org/sites/default/files/media/publications/palaeontology/volume_38/vol38_part3_pp471-494.pdf",,
Crassigyrinus_scoticus,Tetrapoda,Visean-Serpukhovian,,,,,180,,Panchen 1985,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Panchen 1973, fig. 1, right side of a skull. https://www.palass.org/sites/default/files/media/publications/palaeontology/volume_16/vol16_part1_pp179-193.pdf. See also https://www.nms.ac.uk/explore-our-collections/collection-search-results/crassigyrinus-scoticus/283885 (holotype)",,
Adelogyrinus_simnorhynchus,Tetrapoda,Visean,,,,,23,,Brough & Brough 1967,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Greererpeton_burkemorani,Tetrapoda,Visean-Serpukhovian,,,,,140,,Godfrey 1989,,1,0,0,NA,1,0,0,NA,1,0,0,NA,Skeleton lacking limbs. https://www.flickr.com/photos/23165290@N00/20508695373/,,
Balanerpeton_woodi,Tetrapoda,Visean,,,,,50,,Clack 2002,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,Near complete skeleton lacking tail. https://www.nms.ac.uk/explore-our-collections/collection-search-results/temnospondyl-amphibian/283827,,
Eldeceeon_rolfei,Tetrapoda,Visean,,,,,35,,Clack 2002,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Ruta et al. 2020, fig. 1 skeleton lacking tail. https://doi.org/10.1017/S1755691020000079",,
Silvanerpeton_miripedes,Tetrapoda,Visean,,,,,40,,Clack 2002,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Ruta & Clackm 2006, fig. 4+6, skull and complete skeleton.",,
Westlothiana_lizzae,Tetrapoda,Visean,,,,,20,,Clack 2002,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Smithson et al. fig. 1, complete specimen. https://doi.org/10.1017/S0263593300006192",,
Loxomma_sp.,Tetrapoda,Visean-Serpukhovian,,,,,27,,Clack 2002,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,skull. https://www.ucl.ac.uk/museums-static/obl4he/vertebratepalaeo/41_loxomma.html,,
Acherontiscus_caledoniae,Tetrapoda,Visean-Serpukhovian,,,,,16,,Carroll 1969,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Clack et al. 2019, crushed skull fig. 1. https://doi.org/10.1098/rsos.182087",,
Antlerpeton_clarkii,Tetrapoda,Visean,,,,,21,,Thomson et al. 1998,,0,NA,NA,NA,Q1,Q0,Q0,NA,0,NA,NA,NA,"Thomson et al. 1998, fig. 1, holotype consisting of vertebrae, ribs, pevic girdle. https://www.jstor.org/stable/4523901 ",,
Eucritta_melanolimnetes,Tetrapoda,Visean,,,,,47,,Clack 1998,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Clack 2001, fig. 1, near complete specimen. https://doi.org/10.1017/S0263593300000055",,
Ophiderpeton_nanum,Tetrapoda,Visean,,,,,13,,Boyd 1982,,1,0,0,NA,1,0,0,NA,1,0,0,NA,High res. scan pf holotype. http://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25001495,,
Dolichopareias_disjectus,Tetrapoda,Visean,,,,,26,,Brough & Brough 1967,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Brough & Brough 1967, fig. 4 skull. https://doi.org/10.1098/rstb.1967.0004 See also http://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25001116",,
Deltaherpeton_hiemstrae,Tetrapoda,Visean-Serpukhovian,,,,,82,,Bolt & Lombard 2010,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Bolt & Lombard 2010, fig. 1, type specimen partial skull.  https://doi.org/10.1666/10-020.1",,
Eoherpeton_watsoni,Tetrapoda,Visean-Serpukhovian,,,,,87,,Smithson 1985,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Smithson 1985, fig. 6, type specimen skull. https://doi.org/10.1111/j.1096-3642.1985.tb01517.x",,
Doragnathus_woodi,Tetrapoda,Visean-Serpukhovian,,,,,70,,Smithson 1980,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Smithson 1980, fig. 1, sp. known from mandible only. See also http://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25001109",,
Caerorhachis_bairdi,Tetrapoda,Serpukhovian,,,,,30,,Holmes & Carroll 1977,,1,0,0,NA,1,0,1,NA,0,NA,NA,NA,Ruta et al. 2007. Body armour in the form of gastralia. https://doi.org/10.1017/S0263593300000249,,
Colosteid_indet.,Tetrapoda,Serpukhovian,,,,,60,,Garcia et al. 2006,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Adelospondylus_watsoni,Tetrapoda,Serpukhovian,,,,,20,,Carroll 1967,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Andrews 1991, fig. 13, holotype = skull and scattered post cranial elements. https://doi.org/10.1017/S0263593300005332",,
Utaherpeton_franklini,Tetrapoda,Serpukhovian,,,,,5,,Carroll et al. 1991,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Carroll et al. 1991, fig. 3 type speciment complete lacking end of tail. https://www.jstor.org/stable/1305767",,
Proterogyrinus_sp.,Tetrapoda,Serpukhovian,,,,,250,,Clack 2002,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Adelogyrinus_sp.,Tetrapoda,Serpukhovian,,,,,50,,Clack 2002,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAN'T FIND,,
Spathicephalus_mirus,Tetrapoda,Serpukhovian,,,,,100,,Garcia et al. 2006,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Beaumont & Smithson 1998, skull.  https://doi.org/10.1111/j.1096-3642.1998.tb02529.x",,
