Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,0tes,Habitat or water depth,Geographical Distribution
Machaeracanthus_sp.,Acanthodii,Emsian,,,,,140,,"Sudkamp and Burrow, 2007",,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Taemasacanthus_erroli,Acanthodii,Emsian,,,,,28,,Long 1986,,?,?,?,?,?,?,?,?,?,?,?,?,Just jaws,,
Taemasacanthus_porca,Acanthodii,Emsian,,,,,9.3,,Lindley 2000,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,Associated with jaws and scales,,
Taemasacanthus_cooradigbeensis,Acanthodii,Emsian,,,,,14,,Lindley 2002,,?,?,?,?,?,?,?,?,?,?,?,?,Just jaws,,
Taemasacanthus_narrengullensis,Acanthodii,Emsian,,,,,22,,Lindley 2002,,?,?,?,?,?,?,?,?,?,?,?,?,Just jaws,,
Cavanacanthus_warrooensis,Acanthodii,Emsian,,,,,16,,Lindley 2000,,?,?,?,?,?,?,?,?,?,?,?,?,Just jaws,,
Cambaracanthus_comptus,Acanthodii,Emsian,,,,,11,,Lindley 2000,,?,?,?,?,?,?,?,?,?,?,?,?,Just jaws,,
Sevyacanthus_elliotti,Acanthodii,Emsian,,,,,24,,Burrow 2007,,?,?,?,?,1,1,1,Isolated fin spinesand bits of shoulder girdle plate,?,?,?,?,,,
Climatius_latispinosus,Acanthodii,Emsian,,,,,54,,Burrow 2007,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Nodocosta_denisoni,Acanthodii,Emsian,,,,,15,,Burrow 2007,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Ishnacanthus_sp.,Acanthodii,Emsian,,,,,31,,Burrow 2007,,?,?,?,?,?,?,?,?,?,?,?,?,Just jawbone,,
Cacheacanthus_utahensis,Acanthodii,Emsian,,,,,32,,Burrow 2007,,?,?,?,?,?,?,?,?,?,?,?,?,Just jawbone,,
Melanocanthus_minutus,Acanthodii,Emsian,,,,,2,,Cumbaa & Schultze 2002,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Diplacanthus_striatus,Acanthodii,Eifelian-Givetian,,,,,10,,Denison 1979,,0,NA,NA,Has a largish opercular plate,1,1,1,"Fin spines (does have a slight armoured shoulder girdle, which I've counted)",0,NA,NA,NA,"Burrow et al (2016) noted that this taxon is actually D. crassisimus, however it is frequently in the literature as D. striatus",,
Diplacanthus_tenuistriatus,Acanthodii,Eifelian-Givetian,,,,,19,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Gyracanthides_sp.1,Acanthodii,Eifelian,,,,,150,,Long 2011,,,,,,,,,,,,,,Don't know what this is,,
Gyracanthides_sp.2,Acanthodii,Eifelian,,,,,110,,Warren et al. 2000,,,,,,,,,,,,,,Don't know what this is,,
Gyracanthus_sp.,Acanthodii,Eifelian,,,,,50,,"Blieck et al., 1980",,0,NA,NA,NA,1,1,0,NA,0,NA,NA,NA,Spnie fragment,,
Rhadinacanthus_longispinus,Acanthodii,Eifelian-Givetian,,,,,16,,Frickhinger 1991,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Cheiracanthus_murchisoni,Acanthodii,Eifelian-Givetian,,,,,30,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Cheiracanthus_latus,Acanthodii,Eifelian-Givetian,,,,,19,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Atopacanthus_pecularis,Acanthodii,Eifelian,,,,,52,,Burrow 2004,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,Fragmentary jaw,,
Atopacanthus_ambrockensis,Acanthodii,Eifelian,,,,,17,,Otto 1999,,,,,,,,,,,,,,Don't know what this is,,
Mesacanthus_peachi,Acanthodii,Eifelian-Givetian,,,,,6,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Haplacanthus_marginalis,Acanthodii,Givetian,,,,,28,,0yitskava & Obruchev 1967,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,Can't get hold of,,
Homacanthus_gracilis,Acanthodii,Givetian,,,,,8.2,,0yitskava & Obruchev 1967,,,,,,,,,,,,,,"Can't get hold, but think it's a synonym of Diplacanthus crassisimus, which is elsewhere anyway (Burrow et al 2016)",,
Machaeracanthus_longaevus,Acanthodii,Givetian,,,,,16,,Reed 1986,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Machaeracanthus_major,Acanthodii,Givetian,,,,,260,,Newberry 1889,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Nodocosta_pauli,Acanthodii,Givetian,,,,,16,,Denison 1979,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Diplacanthus_longispinus,Acanthodii,Givetian,,,,,22,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,"NB - This is actually Rhadinacanthus longispinus (Burrow 2016) and should be removed, as it is duplicated",,
Antarctonchus_glacialis,Acanthodii,Givetian-Frasnian,,,,,80,,Denison 1979,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Gyracanthides_warreni,Acanthodii,Givetian-Famennian,,,,,50,,Blieck et al. 1980,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Culmacanthus_antarctica,Acanthodii,Givetian,,,,,21,,Young 1989,,1,?,1,Cheek plate,?,?,?,?,?,?,?,?,Isolated cheek plate,,
Culmacanthus_pambulensis,Acanthodii,Givetian-Frasnian,,,,,14,,Young 1989,,1,?,1,Cheek plate,?,?,?,?,?,?,?,?,Isolated cheek plate,,
Archaecanthus_quadrisulcatus,Acanthodii,Givetian,,,,,60,,Denison 1979,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Milesacanthus_antarctica,Acanthodii,Givetian,,,,,22,,Young & Burrow 2004,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Howittacanthus_kentoni,Acanthodii,Givetian,,,,,19,,Long 1986,,0,NA,NA,NA,1,0,0,Fin spines,0,NA,NA,NA,,,
Lodeacanthus_guajicas,Acanthodii,Givetian,,,,,3.12,,Upniece 2001,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Oracanthus_sp.,Acanthodii,Givetian,,,,,220,,Denison 1979,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Persacanthus_simpsoniensis,Acanthodii,Givetian-Frasnian,,,,,34,,Reed 1986,,?,?,?,?,?,?,?,?,?,?,?,?,Fragmentary jaw,,
